module,type,name,res_id,src,value,comments
syl_stock,model,"ir.actions.act_window,name",syl_stock.action_product_defective_report,Defective product report,Доголдолтой бараа материалын тайлан,
syl_stock,model,"ir.actions.act_window,name",syl_stock.action_standart_cost_location_report,Standart and cost,Норм зарцуулалтын харьцуулалтын тайлан,
syl_stock,model,"ir.actions.act_window,name",syl_stock.action_stock_norm,Product Standard,Норм,
syl_stock,model,"ir.actions.act_window,name",syl_stock.action_stock_norm_types,Stock Norm Types,Норм төрөл бүртгэл,
syl_stock,model,"ir.actions.act_window,name",syl_stock.action_stock_product_other_expense,Stock product other expense type report,Норм зарцуулалтын харьцуулалтын тайлан,
syl_stock,model,"ir.actions.act_window,name",syl_stock.action_stock_product_other_expense_types,Stock product other expense type report,Норм зарцуулалтын харьцуулалтын тайлан,
syl_stock,model,"ir.actions.act_window,name",syl_stock.action_stock_quality_notification,Мэдэгдэл хүлээн авах,,
syl_stock,model,"ir.actions.act_window,name",syl_stock.action_stock_quality_report,Шаардлага хангаагүй барааны тайлан,,
syl_stock,model,"ir.actions.act_window,name",syl_stock.action_stock_scrap_defective,Stock scrap defective action,Доголдолтой бараа материалын тайлан,
syl_stock,model,"ir.actions.server,name",syl_stock.cron_stock_quality_report_ir_actions_server,Шаардлага хангаагүй барааны тайлан - КРОН,,
syl_stock,model,"ir.cron,cron_name",syl_stock.cron_stock_quality_report,Шаардлага хангаагүй барааны тайлан - КРОН,,
syl_stock,model,"ir.model,name",syl_stock.model_product_defective_report,Defective products report,Доголдолтой бараа материалын тайлан,
syl_stock,model,"ir.model,name",syl_stock.model_standart_cost_location_report,Standart and Cost of products by location report,Норм зарцуулалтын харьцуулалтын тайлан,
syl_stock,model,"ir.model,name",syl_stock.model_stock_move_line,Product Moves (Stock Move Line),Барааны хөдөлгөөн (Дэлгэрэнгүй),
syl_stock,model,"ir.model,name",syl_stock.model_stock_norm,Шаардах дээрх норм,,
syl_stock,model,"ir.model,name",syl_stock.model_stock_norm_line,Шаардах дээрх норм,,
syl_stock,model,"ir.model,name",syl_stock.model_stock_norm_types,Норм төрлүүд,,
syl_stock,model,"ir.model,name",syl_stock.model_stock_picking,Transfer,Шилжүүлэг,
syl_stock,model,"ir.model,name",syl_stock.model_stock_product_other_expense,Stock Product Other Expense,,
syl_stock,model,"ir.model,name",syl_stock.model_stock_product_other_expense_line,Stock Product Other Expense Line,,
syl_stock,model,"ir.model,name",syl_stock.model_stock_quality_notification,Шаардлага хангаагүй барааны мэдэгдэл хүлээн авах,,
syl_stock,model,"ir.model,name",syl_stock.model_stock_quality_report,Шаардлага хангаагүй барааны тайлан,,
syl_stock,model,"ir.model,name",syl_stock.model_stock_scrap,Scrap,Хаягдал,
syl_stock,model,"ir.model,name",syl_stock.model_stock_scrap_multi,Multi Scrap,,
syl_stock,model,"ir.model,name",syl_stock.model_stock_warehouse,Stock warehouse,Агуулах,
syl_stock,model,"ir.model,name",syl_stock.model_stock_warehouse_orderpoint,Minimum Inventory Rule,Зохистой нөөцийн дүрэм,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report____last_update,Last Modified on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__branch_ids,Department,Байршил,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__company_id,Company,Компани,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__create_date,Created on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__create_uid,Created by,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__date,Date,Огноо,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__department_id,Department,Салбар,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__display_name,Display Name,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__edate,End date,Дуусах хугацаа,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__id,ID,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__sdate,Start date,Эхлэх хугацаа,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__user_id,User,Хэрэглэгч,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__write_date,Last Updated on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_product_defective_report__write_uid,Last Updated by,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report____last_update,Last Modified on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__company_id,Company,Компани,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__create_date,Created on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__create_uid,Created by,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__date,Date,Огноо,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__department_ids,Department,Хэлтэс,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__display_name,Display Name,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__edate,End date,Дуусах хугацаа,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__id,ID,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__job_ids,Job position,Албан тушаал,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__location_id,Location,Байршил,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__location_ids,Location,Байршил,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__sdate,Start date,Эхлэх хугацаа,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__types,Report type,Тайлан төрөл,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__types_id,Product types,Барааны төрөл,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__user_id,User,Хэрэглэгч,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__write_date,Last Updated on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_standart_cost_location_report__write_uid,Last Updated by,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_move_line__code,Code,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_move_line__internal_approve,Бараа явуулахыг зөвшөөрөх,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_move_line__is_qualified,Шаардлага хангасан эсэх,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_move_line__is_sent,Мэдэгдэл очсон эсэх,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_move_line__no_quality,Тайлбар,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm____last_update,Last Modified on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__activity_calendar_event_id,Next Activity Calendar Event,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__activity_date_deadline,Next Activity Deadline,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__activity_exception_decoration,Activity Exception Decoration,,
syl_stock,model,"ir.model.fields,help",syl_stock.field_stock_norm__activity_exception_decoration,Type of the exception activity on record.,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__activity_exception_icon,Icon,,
syl_stock,model,"ir.model.fields,help",syl_stock.field_stock_norm__activity_exception_icon,Icon to indicate an exception activity.,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__activity_ids,Activities,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__activity_state,Activity State,,
syl_stock,model,"ir.model.fields,help",syl_stock.field_stock_norm__activity_state,"Status based on activities
Overdue: Due date is already passed
Today: Activity date is today
Planned: Future activities.",,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__activity_summary,Next Activity Summary,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__activity_type_icon,Activity Type Icon,,
syl_stock,model,"ir.model.fields,help",syl_stock.field_stock_norm__activity_type_icon,Font awesome icon e.g. fa-tasks,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__activity_type_id,Next Activity Type,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__activity_user_id,Responsible User,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__branch_id,Байршил,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__create_date,Created on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__create_uid,Created by,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__date_end,Дуусах огноо,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__date_start,Эхлэх огноо,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__department_id,Хэлтэс,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__display_name,Display Name,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__has_message,Has Message,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__id,ID,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__is_type_check,Is Type Check,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__line_ids,Мөрүүд,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_attachment_count,Attachment Count,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_follower_ids,Followers,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_has_error,Message Delivery error,,
syl_stock,model,"ir.model.fields,help",syl_stock.field_stock_norm__message_has_error,"If checked, some messages have a delivery error.",,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_has_error_counter,Number of errors,,
syl_stock,model,"ir.model.fields,help",syl_stock.field_stock_norm__message_has_error_counter,Number of messages with delivery error,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_has_sms_error,SMS Delivery error,,
syl_stock,model,"ir.model.fields,help",syl_stock.field_stock_norm__message_has_sms_error,"If checked, some messages have a delivery error.",,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_ids,Messages,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_is_follower,Is Follower,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_main_attachment_id,Main Attachment,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_needaction,Action Needed,,
syl_stock,model,"ir.model.fields,help",syl_stock.field_stock_norm__message_needaction,"If checked, new messages require your attention.",,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_needaction_counter,Number of Actions,,
syl_stock,model,"ir.model.fields,help",syl_stock.field_stock_norm__message_needaction_counter,Number of messages requiring action,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__message_partner_ids,Followers (Partners),,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__my_activity_date_deadline,My Activity Deadline,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__norm_type,Норм төрөл,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__norm_types,Төрөл,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__state,Төлөв,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__website_message_ids,Website Messages,,
syl_stock,model,"ir.model.fields,help",syl_stock.field_stock_norm__website_message_ids,Website communication history,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__write_date,Last Updated on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm__write_uid,Last Updated by,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm_line____last_update,Last Modified on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm_line__branch_id,Байршил,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm_line__create_date,Created on,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm_line__create_uid,Created by,,
syl_stock,model,"ir.model.fields,field_description",syl_stock.field_stock_norm_line__department_id,Хэлтэс,,
